
PAYLOAD__CHANNEL_ID,PAYLOAD__CHANNEL_TITLE,PAYLOAD__METRICS__CHANNEL_METRICS__VIEWS,PAYLOAD__METRICS__CHANNEL_METRICS__SUBSCRIBERS
UC-lHJZR3Gqxm24_Vd_AJ5Yw,PewDiePie,29208826124,111000000
UC-yXuc1__OzjwpsJPlxYUCQ,WORLDSTARHIPHOP,20740072181,26700000
UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,2992202179,6660000
UC8SUpGjRdTSqIBuOfmWp3rg,UrduPoint.com,2835144590,8430000
UCbnJMCY2WSvvGdqWrOjo8oQ,VideoYoum7 | قناة اليوم السابع,2406528629,5130000
UCmdVfsLHu18lCkKYXSOGUxg,中時新聞網,2074880720,1540000
UCZWlSUNDvCCS1hBiXV0zKcA,PragerU,1881785468,3210000
UCIveFvW-ARp_B_RckhweNJw,StevenCrowder,1849630349,5800000
UCWlIGsKGsvgFJHkiZml4O1A,Grunge,1438485455,2300000
UCe02lGcO-ahAURWuxAJnjdA,Timcast,1279409326,1220000
UCSK57JMV0OJL1C7V-YOEVkQ,Комсомольская Правда,1203590835,1570000
UCLoNQH9RCndfUGOb2f7E1Ew,The Next News Network,1119759303,2210000
UCLwNTXWEjVd2qIHLcXxQWxA,Timcast IRL,1067417654,1610000
UC-qQJ-PiW3wfNhfxL0tQD9Q,Пятый канал Россия,1050376645,2410000
UCVrK_pMRp_q8IelpfUCTGLQ,Turning Point USA,999923208,1620000
UCaeO5vkdj5xOQHp4UmIN6dw,DailyWire+,969292507,3280000
UCO01ytfzgXYy4glnPJm4PPQ,Matt Walsh,862889394,2810000
UCC3AniMm4b-kmgTlMOcg8kg,升旗易得道,861076575,408000
UCr4kgAUTFkGIwlWSodg43QA,Michael Knowles,769056887,1810000
UCYs0ZTRQWCtdoOQCF4CylTw,Информационное агентство БелТА,681972549,1470000
UCx6h-dWzJ5NpAlja1YsApdg,Newsmax,653270805,2180000
UCEfC_TEr_nmbCcVeDHUgzjg,СБ ТВ,652424705,764000
UCittVh8imKanO_5KohzDbpg,Paul Joseph Watson,615523096,1950000
UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,604187673,2130000
UCkY4fdKOFk3Kiq7g5LLKYLw,Candace Owens Podcast,595525036,2560000
UCt7H1EuNhttU64JGivX_9uw,The Trumpest,593203985,585000
UCFfD9fWqkT4PNy7v6r8ilmg,Conservative Twins,566889757,2700000
UCCsiAKRKcgzA_372WbXNBaw,Dr. Steve Turley,560476633,1190000
UCzUV5283-l5c0oKRtyenj6Q,Mark Dice,560017121,1860000
UCDRIjKy6eZOvKtOELtTdeUA,Breaking Points,545148479,1160000
UCc282c_TN8xIba_Z6GaDnQw,Telewizja Republika,539782050,944000
UCMAtX9eFBpwc4LtgvbqsOpQ,CrowderBits,538649993,1240000
UCoJhK5kMc4LjBKdiYrDtzlA,Redacted,516322146,2250000
UCBRcyI55pANUU4Ofia75yEg,香港大紀元新唐人聯合新聞頻道,509465354,412000
UCyRVVr1FDVmZcR96Hznu4-A,PragerU Shorts,500871721,646000
UCKkW8kJRYo0GXd1asPX3Z9Q,Black Conservative Perspective,497339237,731000
UCs9-XIXPfAF465u3OVdMILg,Progressive News Network,487253756,372000
UCG749Dj4V2fKa143f8sE60Q,Tim Pool,484251386,1350000
UC1X9HTMhyL4UpmjgkrN41oQ,Memology 101,463221196,533000
UCIr4vkCsn0tdTW2xZ1jRG1g,Liberal Hivemind,452163836,1360000
