CONTENT_ID,LINK,TITLE
f4-nNLmIUqg,https://www.youtube.com/watch?v=f4-nNLmIUqg,Apple and iPhone X / iPhone 8 conspiracy theory
3otxLdzJlNI,https://www.youtube.com/watch?v=3otxLdzJlNI,iPhone X is Illuminati
TCatklmGGnk,https://www.youtube.com/watch?v=TCatklmGGnk,Mind Blowing Conspiracy Theories! iPhone 14 and Crumbl Cookies EXPOSED! Shane Dawson Podcast Ep 11
1XZSj2NusMo,https://www.youtube.com/watch?v=1XZSj2NusMo,Apple Conspiracy Theories
Zu76mL0dYVQ,https://www.youtube.com/watch?v=Zu76mL0dYVQ,my neighbor billy's iphone conspiracy theory
9gjCgFMc7No,https://www.youtube.com/watch?v=9gjCgFMc7No,Apple’s supply chain conspiracy in China! Exposed by a Japanese
JUy0gLsGVf8,https://www.youtube.com/watch?v=JUy0gLsGVf8,APPLE WATCH BAND CONSPIRACY!!!??? | iJustine
nzYnXUvebvA,https://www.youtube.com/watch?v=nzYnXUvebvA,TRYING APPLE CONSPIRACY #shorts
nHinJspk0O0,https://www.youtube.com/watch?v=nHinJspk0O0,Conspiracy Theories with Shane Dawson - iPhone
UueLeSYryuw,https://www.youtube.com/watch?v=UueLeSYryuw,APPLE CONSPIRACY!
n6PUy1qs8is,https://www.youtube.com/watch?v=n6PUy1qs8is,IPHONE & BRITNEY SPEARS CONSPIRACY THEORIES
FskD5ZfbJ04,https://www.youtube.com/watch?v=FskD5ZfbJ04,IPHONE & SIMPSONS CONSPIRACY THEORIES
28YchSjLPDc,https://www.youtube.com/watch?v=28YchSjLPDc,IPhone EMF Exposure #conspiracytiktok
KbtnYg8K1w0,https://www.youtube.com/watch?v=KbtnYg8K1w0,"Off The Pill Podcast #2 - The Apple Conspiracy, ASMR, and Is Incest Wrong?"
6j7O56laZ6g,https://www.youtube.com/watch?v=6j7O56laZ6g,Apple is Illuminati
nzRinDQmxhY,https://www.youtube.com/watch?v=nzRinDQmxhY,Apple  BATTERY SCANDAL  exposed!
pE2eaMeucc4,https://www.youtube.com/watch?v=pE2eaMeucc4,Biggest iPhone Scam in Market Battery BOOST iPhone Exposed By Hamzaspeak
WKNFxMhsT7w,https://www.youtube.com/watch?v=WKNFxMhsT7w,E64: Spying on us all — Government and Big Tech want even more surveillance powers
rthOTSWHkL8,https://www.youtube.com/watch?v=rthOTSWHkL8," Governments Spying on Apple, Google Users Through Push Notifications, Says US Senator "
oX7X32zgShQ,https://www.youtube.com/watch?v=oX7X32zgShQ, Apple and Google Warn about Feds Spying #shorts 
oZ6fCWKK8ow,https://www.youtube.com/watch?v=oZ6fCWKK8ow, ELON & TUCKER Reveal Big Tech's Spying Agenda | Tomi Lahren Is Fearless 
4Fd04OzfXj8,https://www.youtube.com/watch?v=4Fd04OzfXj8, How to stop your iPhone spying on you! 
wyJl5nJpHME,https://www.youtube.com/watch?v=wyJl5nJpHME, Is Apple's New AI Spying On You? 
ZSXNehkezSc,https://www.youtube.com/watch?v=ZSXNehkezSc, 😱 Your IPHONE Takes Invisible Pictures Of You Every 5 Seconds |How to stop your iPhone  from SPYING😲 
fZe8X0paTrc,https://www.youtube.com/watch?v=fZe8X0paTrc, How To Stop Your iPhone From Spying On You! (2022) 
0ngVfwuz8oI,https://www.youtube.com/watch?v=0ngVfwuz8oI,Glenn Greenwald exposes Big Tech on 'Tucker Carlson Tonight'
9H87tHCLK1Q,https://www.youtube.com/watch?v=9H87tHCLK1Q,How Apple Brainwashes You
0RrKqQ5_hFg,https://www.youtube.com/watch?v=0RrKqQ5_hFg,Tucker Carlson: Apple Is A 'Lapdog for the Chinese Government'
dP-fsLylB9E,https://www.youtube.com/watch?v=dP-fsLylB9E,How Apple Brainwashed The World
UueLeSYryuw,https://www.youtube.com/watch?v=UueLeSYryuw,APPLE CONSPIRACY!
t01n8SBqjGU,https://www.youtube.com/watch?v=t01n8SBqjGU,i asked ai to do a donald trump apple vision pro commercial
lm8cScTvvBo,https://www.youtube.com/watch?v=lm8cScTvvBo,Steve Jobs Apple Farm Commercial (AI)
0VW49YKs0UM,https://www.youtube.com/watch?v=0VW49YKs0UM,Apple Logo Hidden Message!
CvZIju4UIvo,https://www.youtube.com/watch?v=CvZIju4UIvo,Strange Iphone Theory That No One Is Talking About...
