CONTENT_ID,LINK,TITLE
WKNFxMhsT7w,https://www.youtube.com/watch?v=WKNFxMhsT7w,E64: Spying on us all — Government and Big Tech want even more surveillance powers
rthOTSWHkL8,https://www.youtube.com/watch?v=rthOTSWHkL8," Governments Spying on Apple, Google Users Through Push Notifications, Says US Senator "
oX7X32zgShQ,https://www.youtube.com/watch?v=oX7X32zgShQ, Apple and Google Warn about Feds Spying #shorts 
oZ6fCWKK8ow,https://www.youtube.com/watch?v=oZ6fCWKK8ow, ELON & TUCKER Reveal Big Tech's Spying Agenda | Tomi Lahren Is Fearless 
4Fd04OzfXj8,https://www.youtube.com/watch?v=4Fd04OzfXj8, How to stop your iPhone spying on you! 
wyJl5nJpHME,https://www.youtube.com/watch?v=wyJl5nJpHME, Is Apple's New AI Spying On You? 
ZSXNehkezSc,https://www.youtube.com/watch?v=ZSXNehkezSc, ?? Your IPHONE Takes Invisible Pictures Of You Every 5 Seconds |How to stop your iPhone  from SPYING?? 
fZe8X0paTrc,https://www.youtube.com/watch?v=fZe8X0paTrc, How To Stop Your iPhone From Spying On You! (2022) 
0ngVfwuz8oI,https://www.youtube.com/watch?v=0ngVfwuz8oI,Glenn Greenwald exposes Big Tech on 'Tucker Carlson Tonight'
9H87tHCLK1Q,https://www.youtube.com/watch?v=9H87tHCLK1Q,How Apple Brainwashes You
0RrKqQ5_hFg,https://www.youtube.com/watch?v=0RrKqQ5_hFg,Tucker Carlson: Apple Is A 'Lapdog for the Chinese Government'
dP-fsLylB9E,https://www.youtube.com/watch?v=dP-fsLylB9E,How Apple Brainwashed The World
